model,split,MAE,RMSE,R2
dummy_mean_baseline,train,6734.263225876253,7755.6803007712215,0.0
dummy_mean_baseline,validation,6718.437055386891,7711.879118813819,-8.527340159170116e-05
linear_regression,train,1263.8203201613728,2136.2278051893213,0.9241325774623271
linear_regression,validation,1524.7261718972898,2584.604309753625,0.8876676787054796
random_forest,train,610.9259339194081,1316.1979140839837,0.9711993294574833
random_forest,validation,1158.488652295744,2368.1020761733635,0.9056987515763902
hist_gradient_boosting,train,428.4345806150721,864.5602251412928,0.9875734461567356
hist_gradient_boosting,validation,1176.2253007762433,2404.027762570375,0.9028158226815794
xgboost,train,403.7822324282007,811.4629851149725,0.9890529366492627
xgboost,validation,1174.9944449437694,2413.5513485514657,0.9020443048514083
random_forest,test,1056.5334729468243,2119.762922880975,0.9044143560305453
